First Name,Last Name,Title,Country,Company,Industry
,,VP of compliance,"Baton Rouge, Louisiana",,
,,VP of compliance,"Shreveport, Louisiana",,
,,VP of compliance,"Lafayette, Louisiana",,
,,VP of compliance,"Lake Charles, Louisiana",,
,,VP of compliance,"Kenner, Louisiana",,
,,VP of compliance,"Portland, Maine",,
,,VP of compliance,"Lewiston, Maine",,
,,VP of compliance,"Bangor, Maine",,
,,VP of compliance,"South Portland, Maine",,
,,VP of compliance,"Auburn, Maine",,
,,VP of compliance,"Biddeford, Maine",,
,,VP of compliance,"Baltimore, Maryland",,
,,VP of compliance,"Frederick, Maryland",,
,,VP of compliance,"Gaithersburg, Maryland",,
,,VP of compliance,"Rockville, Maryland",,
,,VP of compliance,"Bowie, Maryland",,
,,VP of compliance,"Hagerstown, Maryland",,
,,VP of compliance,"Boston, Massachusetts",,
,,VP of compliance,"Worcester, Massachusetts",,
,,VP of compliance,"Springfield, Massachusetts",,
,,VP of compliance,"Cambridge, Massachusetts",,
,,VP of compliance,"Lowell, Massachusetts",,
,,VP of compliance,"Brockton, Massachusetts",,
,,VP of compliance,"Detroit, Michigan",,
,,VP of compliance,"Grand Rapids, Michigan",,
,,VP of compliance,"Warren, Michigan",,
,,VP of compliance,"Sterling Heights, Michigan",,
,,VP of compliance,"Ann Arbor, Michigan",,
,,VP of compliance,"Lansing, Michigan",,
,,VP of compliance,"Minneapolis, Minnesota",,
,,VP of compliance,"St. Paul, Minnesota",,
,,VP of compliance,"Rochester, Minnesota",,
,,VP of compliance,"Bloomington, Minnesota",,
,,VP of compliance,"Duluth, Minnesota",,
,,VP of compliance,"Brooklyn Park, Minnesota",,
,,VP of compliance,"Jackson, Mississippi",,
,,VP of compliance,"Gulfport, Mississippi",,
,,VP of compliance,"Southaven, Mississippi",,
,,VP of compliance,"Biloxi, Mississippi",,
,,VP of compliance,"Hattiesburg, Mississippi",,
,,VP of compliance,"Olive Branch, Mississippi",,
,,VP of compliance,"Kansas City, Missouri",,
,,VP of compliance,"St. Louis, Missouri",,
,,VP of compliance,"Springfield, Missouri",,
,,VP of compliance,"Columbia, Missouri",,
,,VP of compliance,"Independence, Missouri",,
,,VP of compliance,"Lee's Summit, Missouri",,
,,VP of compliance,"Billings, Montana",,
,,VP of compliance,"Missoula, Montana",,
,,VP of compliance,"Great Falls, Montana",,
,,VP of compliance,"Bozeman, Montana",,
,,VP of compliance,"Butte-Silver Bow (balance), Montana",,
,,VP of compliance,"Helena, Montana",,
,,VP of compliance,"Omaha, Nebraska",,
,,VP of compliance,"Lincoln, Nebraska",,
,,VP of compliance,"Bellevue, Nebraska",,
,,VP of compliance,"Grand Island, Nebraska",,
,,VP of compliance,"Kearney, Nebraska",,
,,VP of compliance,"Fremont, Nebraska",,
,,VP of compliance,"Las Vegas, Nevada",,
,,VP of compliance,"Henderson, Nevada",,
,,VP of compliance,"North Las Vegas, Nevada",,
,,VP of compliance,"Reno, Nevada",,
,,VP of compliance,"Sparks, Nevada",,
,,VP of compliance,"Carson City, Nevada",,
,,VP of compliance,"Manchester, New Hampshire",,
,,VP of compliance,"Nashua, New Hampshire",,
,,VP of compliance,"Concord, New Hampshire",,
,,VP of compliance,"Dover, New Hampshire",,
,,VP of compliance,"Rochester, New Hampshire",,
,,VP of compliance,"Keene, New Hampshire",,
,,VP of compliance,"Newark, New Jersey",,
,,VP of compliance,"Jersey City, New Jersey",,
,,VP of compliance,"Paterson, New Jersey",,
,,VP of compliance,"Elizabeth, New Jersey",,
,,VP of compliance,"Trenton, New Jersey",,
,,VP of compliance,"Clifton, New Jersey",,
,,VP of compliance,"Albuquerque, New Mexico",,
,,VP of compliance,"Las Cruces, New Mexico",,
,,VP of compliance,"Rio Rancho, New Mexico",,
,,VP of compliance,"Santa Fe, New Mexico",,
,,VP of compliance,"Roswell, New Mexico",,
,,VP of compliance,"Farmington, New Mexico",,
,,VP of compliance,"New York, New York",,
,,VP of compliance,"Buffalo, New York",,
,,VP of compliance,"Rochester, New York",,
,,VP of compliance,"Yonkers, New York",,
,,VP of compliance,"Syracuse, New York",,
,,VP of compliance,"Albany, New York",,
,,VP of compliance,"Charlotte, North Carolina",,
,,VP of compliance,"Raleigh, North Carolina",,
,,VP of compliance,"Greensboro, North Carolina",,
,,VP of compliance,"Durham, North Carolina",,
,,VP of compliance,"Winston-Salem, North Carolina",,
,,VP of compliance,"Fayetteville, North Carolina",,
,,VP of compliance,"Fargo, North Dakota",,
,,VP of compliance,"Bismarck, North Dakota",,
,,VP of compliance,"Grand Forks, North Dakota",,
,,VP of compliance,"Minot, North Dakota",,
,,VP of compliance,"West Fargo, North Dakota",,
,,VP of compliance,"Williston, North Dakota",,
,,VP of compliance,"Columbus, Ohio",,
,,VP of compliance,"Cleveland, Ohio",,
,,VP of compliance,"Cincinnati, Ohio",,
,,VP of compliance,"Toledo, Ohio",,
,,VP of compliance,"Akron, Ohio",,
,,VP of compliance,"Dayton, Ohio",,
,,VP of compliance,"Oklahoma City, Oklahoma",,
,,VP of compliance,"Tulsa, Oklahoma",,
,,VP of compliance,"Norman, Oklahoma",,
,,VP of compliance,"Broken Arrow, Oklahoma",,
,,VP of compliance,"Edmond, Oklahoma",,
,,VP of compliance,"Lawton, Oklahoma",,
,,VP of compliance,"Portland, Oregon",,
,,VP of compliance,"Eugene, Oregon",,
,,VP of compliance,"Salem, Oregon",,
,,VP of compliance,"Gresham, Oregon",,
,,VP of compliance,"Hillsboro, Oregon",,
,,VP of compliance,"Bend, Oregon",,
,,VP of compliance,"Philadelphia, Pennsylvania",,
,,VP of compliance,"Pittsburgh, Pennsylvania",,
,,VP of compliance,"Allentown, Pennsylvania",,
,,VP of compliance,"Reading, Pennsylvania",,
,,VP of compliance,"Erie, Pennsylvania",,
,,VP of compliance,"Bethlehem, Pennsylvania",,
,,VP of compliance,"Providence, Rhode Island",,
,,VP of compliance,"Warwick, Rhode Island",,
,,VP of compliance,"Cranston, Rhode Island",,
,,VP of compliance,"Pawtucket, Rhode Island",,
,,VP of compliance,"East Providence, Rhode Island",,
,,VP of compliance,"Woonsocket, Rhode Island",,
,,VP of compliance,"Charleston, South Carolina",,
,,VP of compliance,"Columbia, South Carolina",,
